"","sample_key","metal","site","analyst","X1","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"125",45,"Cr53","B","KAD",153,19647.2045186103,537.936854947832,18565.3801553319,483.255278489467
"126",45,"Pb208","B","KAD",151,259995.192943896,6249.57880758762,258737.05182157,5829.32130977563
"127",46,"As75","A","LML",160,2293.54478687964,322.316120123824,326.881017967439,279.590318865562
"128",46,"Cd111","A","LML",157,120.345134653236,608.96475171821,-2619.32776155947,-611.81096782735
"129",46,"Cd114","A","LML",159,219.956890194318,60.1444251835245,-2515.48839029196,-81.7163764482196
"130",46,"Cr52","A","LML",161,24856.8117631603,663.586259102583,23799.8799980104,622.743788549468
"131",46,"Cr53","A","LML",158,25848.860256207,672.16516497374,24838.9931201716,627.081707931277
"132",46,"Pb208","A","LML",162,318125.06196681,7761.45726542227,316950.605728755,7462.84254223414
"133",47,"As75","QC","LML",163,14985.1493018365,390.616514541146,12981.3175109209,313.682721011137
"134",47,"Cd111","QC","LML",165,2557.42383721104,247.938000092502,-234.026197574199,-240.228439993272
"135",47,"Cd114","QC","LML",168,2743.54267660058,69.7088953087361,-43.5998446552469,-20.5224816285452
"136",47,"Cr52","QC","LML",166,64498.7477986856,1668.71609866798,63421.8410567633,1638.39023146718
"137",47,"Cr53","QC","LML",164,66081.2525359516,1651.66350902835,65052.2998986087,1619.51618605762
"138",47,"Pb208","QC","LML",167,1323841.72701916,31239.486006155,1322645.07470672,31143.0321143901
"139",48,"As75","A","AH",171,2223.77809396894,340.513316584385,123.286148600665,295.317239465589
"140",48,"Cd111","A","AH",169,115.187190962363,253.446378501353,-2810.91585847835,-260.97075899351
"141",48,"Cd114","A","AH",172,212.412611659074,60.5954272713151,-2709.17513988382,-84.3144802994562
"142",48,"Cr52","A","AH",174,33986.1717445998,882.902412745293,32857.3175425777,843.667458578096
"143",48,"Cr53","A","AH",170,35036.0773324735,875.207299291783,33957.4904287711,831.719615732601
"144",48,"Pb208","A","AH",173,256848.966232733,6337.30861490841,255594.59021421,5924.46872389097
"145",51,"As75","C","LG",192,3567.66202868751,828.870350603805,1410.14975067878,808.776723414403
"146",51,"Cd111","C","LG",191,118.455066858672,1530.77419317236,-2887.08050294341,-1532.02634290537
"147",51,"Cd114","C","LG",189,543.17587830713,95.2506629529491,-2457.72182050722,-107.254027835294
"148",51,"Cr52","C","LG",188,11070.0713311077,342.978218116502,9910.57304961468,275.530751762074
"149",51,"Cr53","C","LG",190,11422.2898826323,364.512659835218,10314.4234645922,289.572322741521
"150",51,"Pb208","C","LG",187,226578.800786623,5570.76939834549,225290.373250792,5075.4809690159
"151",52,"As75","B","MF",193,1717.25443409331,118.956503463456,827.201086951271,49.62385628775
"152",52,"Cd111","B","MF",194,82.9544194823268,66.0228891154776,-1156.9397962418,-91.7727914975993
"153",52,"Cd114","B","MF",196,177.901442589452,16.9823224955004,-1060.07948038621,-59.9179149716288
"154",52,"Cr52","B","MF",195,9139.96658250288,523.93756358894,8661.63079875439,493.120292220529
"155",52,"Cr53","B","MF",197,9317.12155539073,532.050726585184,8860.08581862405,501.111401257833
"156",52,"Pb208","B","MF",198,219292.356988269,12244.3631801609,218760.833134382,12180.1947572714
"157",53,"As75","QC","MF",201,8048.03688973055,374.753901563858,7051.43984970472,321.624385472758
"158",53,"Cd111","QC","MF",199,1248.1655707282,66.7474590932869,-140.149982832222,-34.8396344726972
"159",53,"Cd114","QC","MF",200,1292.791714135,59.6304673176583,-93.3815162759719,-5.46819638985384
"160",53,"Cr52","QC","MF",204,33405.5459258455,1564.7403983949,32869.9510339742,1539.05569496246
"161",53,"Cr53","QC","MF",203,34178.3982145544,1578.06109410958,33666.6530883659,1552.60440503302
"162",53,"Pb208","QC","MF",202,568664.369872538,25953.3844305459,568069.220041139,25905.90427694
"163",54,"As75","A","LAK",207,2513.64595996228,397.141827954303,620.655717512052,364.372908085129
"164",54,"Cd111","A","LAK",209,92.3260591275926,246.311119681929,-2544.71548402575,-253.968585864773
"165",54,"Cd114","A","LAK",210,151.852408529471,41.2086141817799,-2481.11989033033,-72.2542463563975
"166",54,"Cr52","A","LAK",208,16942.5047708092,494.216601421527,15925.1669065585,447.732610685387
"167",54,"Cr53","A","LAK",205,17197.0399003742,501.100711316553,16225.0035691493,449.664085249083
"168",54,"Pb208","A","LAK",206,166776.75180468,4647.05242702259,165646.292071823,4185.97905510351
"169",56,"As75","A","AVM",220,4440.46305429257,198.76491955176,2236.45297599131,63.5264738554458
"170",56,"Cd111","A","AVM",221,140.784447822534,516.667002259836,-2929.52516480711,-520.129267451952
"171",56,"Cd114","A","AVM",222,411.876177261168,50.0952835864309,-2653.69561092918,-72.0943429208193
"172",56,"Cr52","A","AVM",218,19149.4276287532,501.922053664468,17964.9403263021,448.331653629539
"173",56,"Cr53","A","AVM",217,19808.5048217536,518.000267945548,18676.762131035,458.081536292975
"174",56,"Pb208","A","AVM",219,867454.786193682,18869.5619955219,866138.591007645,18703.5403320422
"175",57,"As75","QC","AVM",226,15237.1708797768,583.886915577521,13098.0089072907,532.714656811792
"176",57,"Cd111","QC","AVM",223,2370.82920351782,207.559972526731,-609.143361833519,-200.499272106718
"177",57,"Cd114","QC","AVM",227,2545.37238563795,67.9414613236864,-430.001755244904,-33.0338899167157
"178",57,"Cr52","QC","AVM",224,63169.1643841996,1578.18096540986,62019.5279922241,1546.03093013499
"179",57,"Cr53","QC","AVM",225,64702.3850207281,1547.26662447896,63603.9413473262,1512.53826094075
"180",57,"Pb208","QC","AVM",228,1031836.45060523,23348.0114285905,1030558.98154188,23214.750284647
